m/z	RT
909.7171	12.346
830.5558	2.244
727.6639	13.22
937.7989	13.69
1320.1607	14.664
816.576	3.491
1390.1999	12.528
897.8491	14.43
725.6208	12.532
801.7227	11.683
893.2791	4.022
769.5679	5.372
769.5485	2.832
896.8354	13.65
1236.8502	4.952
1321.1646	14.698
642.6193	14.912
726.5802	7.392
892.8256	14.698
747.5355	2.882
1412.4115	11.872
298.2483	12.96
918.8035	12.772
875.7119	13.69
1338.3922	11.306
1379.2441	12.537
903.8838	14.538
789.6796	8.676
874.8297	13.909
745.595	7.825
544.5487	6.785
801.5848	3.256
1373.2022	12.585
935.8122	13.056
941.8296	14.331
812.6175	7.468
1299.3643	11.306
854.8722	14.463
811.6542	7.089
828.6114	4.293
827.7021	11.354
851.712	13.824
703.5093	2.93
906.8387	12.675
795.6107	7.747
1335.3922	11.306
1319.1512	12.585
770.6074	7.193
692.6044	13.505
880.7464	14.295
787.5958	6.061
693.6296	14.343
841.6272	5.046
1218.1465	9.989
505.5181	6.785
806.7248	13.69
771.6106	6.919
905.889	14.8
767.6735	7.1
744.5831	6.563
243.1173	13.172
797.59	6.376
1318.1481	12.581
522.4058	1.64
879.8732	14.803
903.7431	14.036
789.6574	8.67
681.4961	2.93
799.5917	2.631
904.8864	14.803
842.5921	4.199
718.5954	6.376
687.5723	12.445
821.7932	13.828
767.5645	6.169
931.7989	12.767
726.0238	2.882
798.5664	2.676
522.3858	1.64
824.5802	3.491
824.5806	3.962
833.59	5.415
928.8236	14.382
214.2533	1.317
738.6622	13.041
715.6232	14.17
827.6007	4.204
837.6214	7.145
848.6135	3.069
712.6443	13.211
1224.106	9.736
879.7053	11.731
778.2331	3.268
946.7918	12.352
815.6277	7.779
1281.22	14.912
524.421	1.918
1343.2279	14.651
1205.0467	6.745
796.6139	6.611
667.6006	12.96
927.2717	4.91
829.7177	12.258
793.595	6.337
823.8195	14.133
1485.4304	12.106
791.562	2.821
906.8286	12.674
612.5575	9.993
863.7545	12.393
792.5673	3.079
751.5737	5.832
297.243	13.22
813.6223	5.376
821.8035	13.826
745.6381	2.092
1353.1547	12.631
871.8106	13.69
911.733	12.665
737.6209	12.248
1297.3003	14.884
1409.4117	11.872
746.6101	12.306
1487.1466	5.701
940.798	12.852
368.4259	3.402
638.5729	10.169
913.7693	12.248
740.524	5.875
1352.1515	12.631
823.808	14.13
843.7277	13.278
816.7549	12.017
929.7864	12.445
960.8974	15.439
806.5677	6.104
845.6589	7.453
687.5708	12.624
901.7272	13.69
577.5201	14.467
186.0584	16.104
768.5554	5.048
818.6399	7.01
892.6561	6.609
845.7235	10.794
878.7312	13.993
1340.2088	14.468
807.6367	8.951
720.5941	12.106
797.5517	3.16
940.8182	13.997
697.6104	6.124
1304.2215	14.912
826.7789	14.461
584.5581	5.33
905.8885	14.76
808.5844	7.548
1013.6559	1.551
903.7497	12.153
888.7921	14.079
855.7452	12.767
810.6576	7.468
915.7849	12.911
1339.2054	14.468
482.3251	1.411
704.5987	12.436
1356.2162	14.651
834.6576	6.613
828.7967	14.43
1362.2187	13.505
706.5856	5.701
625.6275	9.24
807.5716	6.292
849.8137	14.089
918.8135	13.106
818.7114	12.07
748.0369	2.882
859.6597	5.237
687.7043	13.514
724.5287	6.52
524.5812	6.785
770.0503	2.832
1018.6926	1.594
835.603	7.779
669.6162	13.556
756.5695	5.33
817.2609	3.268
650.47	11.118
825.7659	14.132
838.6088	4.858
904.8137	12.352
948.8076	12.665
814.5606	2.468
928.7624	12.491
581.5453	5.375
815.7512	12.11
823.7502	13.828
1073.3099	7.183
1278.205	14.912
1446.1947	7.377
591.573	9.849
908.8658	15.42
586.3813	1.492
715.6637	13.509
905.7587	14.295
816.5762	3.355
623.5476	9.991
946.7881	13.736
912.7866	13.69
853.7274	14.131
703.565	12.532
824.5818	3.68
794.7152	13.461
813.5746	2.818
862.7709	13.826
1019.9536	14.912
869.7237	8.844
968.6677	1.673
860.6626	5.19
884.7717	13.824
745.5591	5.331
1484.4319	12.153
582.5513	14.43
838.7875	14.651
744.5553	7.699
810.6565	10.794
897.826	13.69
843.6418	6.104
888.7664	12.908
815.5642	3.538
362.332	2.106
774.6013	5.376
734.6191	6.967
1072.3094	7.183
1374.3826	11.872
838.6869	12.07
775.6054	7.841
600.5619	9.993
816.6958	10.64
813.6117	7.053
686.6369	13.211
810.7559	14.298
916.7885	12.483
1084.1344	6.785
870.8089	13.737
834.64	6.613
785.7052	8.889
1357.2188	14.619
901.8549	14.174
958.8815	15.186
372.3712	12.96
830.5556	2.45
801.7351	11.734
690.5885	12.952
709.6255	12.628
1486.431	12.153
850.8383	14.575
1307.2447	15.252
707.5428	5.563
518.3227	1.732
950.8898	15.862
1074.309	7.183
783.6241	5.048
788.6592	7.421
673.5932	12.772
811.7194	8.954
780.555	4.623
872.8158	13.828
765.6806	13.106
850.8297	14.174
367.3788	12.627
1321.3064	14.884
697.5974	12.248
1152.1104	9.286
745.6223	7.889
876.7311	11.873
909.7901	14.791
756.5554	3.162
844.5477	3.072
948.8037	14.043
816.6746	5.929
1320.2268	14.577
510.3924	2.341
1019.9447	14.577
659.4827	2.977
818.6084	6.153
367.3614	12.627
774.6155	3.16
764.6399	12.439
978.9061	15.867
695.5396	5.897
812.7246	8.844
815.7015	11.494
1440.0984	6.019
809.7441	13.998
813.5467	3.069
792.0636	2.821
827.6005	4.008
804.5528	5.053
1265.3733	9.657
784.6277	5.651
1225.3463	9.657
800.629	6.563
723.5425	4.623
835.7516	13.784
938.7801	12.675
703.2152	2.562
886.7512	12.581
797.6506	8.078
722.5594	6.678
729.6496	5.834
636.557	8.624
725.6535	12.952
1429.1926	12.445
902.8611	14.288
628.1958	2.045
798.6023	6.97
1196.0829	9.849
787.7198	10.825
566.398	1.492
747.5744	6.38
811.6034	8.656
895.7382	12.772
809.6399	5.789
704.011	2.93
844.7911	13.601
785.6904	8.889
636.557	8.481
638.573	9.993
786.6508	7.639
1020.9577	14.924
687.683	13.513
919.8458	14.791
1006.6896	1.64
818.6393	7.193
957.7962	12.758
881.7646	12.678
831.81	14.431
815.5642	3.16
971.8037	12.389
713.649	13.002
791.6272	8.656
853.2523	4.022
968.8931	15.794
737.5866	5.701
835.5882	2.788
567.5741	9.286
581.5452	9.758
1409.1441	12.491
790.5736	6.52
883.8488	14.8
1406.1955	12.483
612.5572	9.781
853.7293	12.445
1447.1971	7.377
954.7781	12.445
788.7239	10.794
1408.14	12.499
663.5091	6.701
903.7495	11.967
823.5691	3.543
230.2482	1.365
935.8846	15.394
686.6368	12.96
511.3597	1.779
891.8142	14.43
707.6309	14.619
915.8061	13.91
1318.2746	14.539
371.3591	12.528
814.6801	8.844
825.6961	13.821
673.5932	14.339
768.6404	6.517
1413.4107	11.872
681.9976	2.93
766.5551	5.372
774.6022	7.605
372.371	13.22
781.6214	8.77
834.6558	8.858
1392.1457	12.539
774.6028	3.16
496.369	1.492
609.6051	9.286
913.7702	12.628
844.5888	5.113
751.6019	6.376
637.4695	2.977
814.0766	2.821
1300.1856	14.577
794.7746	13.784
1012.724	1.654
1448.4011	12.106
1393.1492	12.539
883.8335	14.461
1488.3399	13.509
665.6072	14.294
1339.3917	11.306
741.6815	13.372
815.5644	2.247
947.7894	13.737
1364.2532	12.572
852.8538	14.791
665.5792	12.537
741.6444	12.537
759.6883	8.765
186.066	15.761
907.8338	12.675
808.6373	6.149
813.6706	7.841
776.5475	5.438
582.6027	5.375
824.5749	3.072
941.8008	12.852
787.7199	10.64
887.7541	12.205
814.7396	11.074
668.6731	14.577
822.6387	8.078
780.7094	13.647
733.6141	7.148
998.2904	6.017
1464.108	6.103
769.5945	6.919
784.5865	3.962
733.6233	7.747
1196.827	4.952
791.696	13.154
812.6089	6.382
818.2614	3.268
1412.1941	12.491
1191.354	8.387
369.3942	14.608
798.7472	14.089
701.6086	4.629
1363.2227	13.514
882.8407	15.091
669.562	12.211
623.5477	9.758
1411.1896	12.487
414.2704	2.609
801.6765	9.851
646.5651	12.537
690.5887	13.22
872.7427	10.613
721.5951	7.936
973.8195	12.712
949.805	14.036
668.6819	14.884
850.5974	3.915
667.6003	13.22
999.2914	6.017
583.555	6.151
754.5395	4.482
909.7872	12.675
836.0897	2.788
808.5778	4.817
670.6934	14.912
575.5043	14.245
1363.2613	12.581
491.462	12.537
1489.3434	13.509
866.8103	14.698
917.821	14.209
