m/z	RT	isotope_state	is_isotope	is_in_source_fragment	MS2	P_RT-A1	P_RT-A2
1366.118	13.02	M+0	False	False		2460	2218
879.7451	15.881	M+0	False	False		2496	2460
458.3498	10.101	M+0	False	False		2459	1781
388.2538	19.307	M+0	False	False		1720	2458
961.8298	15.718	M+0	False	False		1711	2458
991.8296	5.806	M+0	False	False		2024	2457
679.4826	15.765	M+0	False	False		3260	2456
708.498	4.098	M+0	False	False		2029	2456
786.6472	7.568	M+0	False	False		2567	2455
566.5847	12.104	M+0	False	False		3601	2455
851.7119	13.854	M+0	False	False		3577	2453
614.4091	13.411	M+0	False	False		2453	2190
679.4836	8.275	M+1	True	False		2290	2453
701.4099	7.403	M+0	False	False		2453	2764
808.5684	2.469	M+0	False	False		1221	2452
615.4116	16.345	M+1	True	False		1723	2451
955.7548	14.557	M+0	False	False		2451	2385
807.718	13.363	M+0	False	False		2448	2049
1437.38	13.522	M+0	False	False		1740	2448
870.8058	13.665	M+0	False	False		1854	2446
698.5614	6.558	M+0	False	False		0	2446
955.7579	16.296	M+0	False	False		2444	2545
682.4894	4.638	M+2	True	False		2443	2477
758.5722	8.286	M+0	False	False		2812	2443
782.5708	12.046	M+0	False	False		2442	2691
767.5582	13.854	M+0	False	False		1742	2441
766.5324	18.041	M+0	False	False		2440	2087
753.6862	15.994	M+2	True	False		2438	2250
590.4654	6.356	M+0	False	False		1827	2438
619.529	14.707	M+0	False	False		3066	2438
802.5279	6.671	M+0	False	False		2434	1783
810.565	7.38	M+0	False	False		2468	2434
857.754	14.507	M+2	True	False		2364	2434
830.6203	2.913	M+0	False	False		2432	4055
1002.8491	15.386	M+0	False	False		1505	2432
700.587	13.459	M+1	True	False		2431	2568
983.2754	12.944	M+0	False	False		1685	2431
943.9897	18.932	M+0	False	False		1769	2430
961.3771	2.84	M+0	False	False		2089	2428
1298.3666	12.199	M+2	True	False		2371	2428
344.23	17.285	M+0	False	False		2427	1276
921.7593	13.133	M+0	False	False		1934	2426
679.4814	10.921	M+0	False	False		2426	2304
854.5867	15.987	M+0	False	False		2324	2425
820.4958	2.96	M+0	False	False		2423	2069
1058.2869	13.133	M+1	True	False		1622	2423
776.6114	7.894	M+2	True	False		2794	2420
793.6386	11.207	M+0	False	False		2158	2420
554.1781	16.282	M+0	False	False		2536	2419
589.5298	8.12	M+0	False	False		2419	1839
895.7592	16.216	M+0	False	False		2170	2419
383.3314	13.333	M+0	False	False		1912	2418
844.5473	3.356	M+0	False	False		2418	2264
745.6508	14.317	M+0	False	False		2562	2417
767.7863	7.926	M+0	False	False		2361	2416
774.7085	3.181	M+0	False	False		2474	2416
637.4705	3.95	M+0	False	False		2424	2414
760.583	9.558	M+0	False	False		2711	2414
1057.9066	14.368	M+1	True	False		2413	2279
939.8443	16.5	M+2	True	False		2061	2411
769.4731	4.946	M+3	True	False		2410	2440
977.7625	15.927	M+0	False	False		2406	2787
1342.2219	15.332	M+0	False	False		2406	2102
317.3252	18.3	M+0	False	False		2406	1730
910.45	2.319	M+0	False	False		2405	2840
317.3254	10.148	M+0	False	False		2404	1803
432.2807	9.347	M+0	False	False		2404	2239
682.4914	11.207	M+0	False	False		1995	2404
566.5731	14.415	M+0	False	False		2401	2500
454.256	3.739	M+0	False	False		1663	2400
679.4833	11.17	M+0	False	False		2380	2399
922.0743	9.691	M+0	False	False		2399	1842
663.4648	0.238	M+0	False	False		2226	2398
1416.9352	12.14	M+0	False	False		2398	2265
1371.2385	15.503	M+0	False	False		0	2398
242.1302	13.854	M+0	False	False		16061	2397
1445.0815	16.129	M+0	False	False		2151	2397
681.4898	16.246	M+0	False	False		2333	2397
695.6447	15.987	M+0	False	False		4556	2397
444.3796	3.941	M+0	False	False		2396	1952
1080.7935	3.101	M+0	False	False		2393	1905
818.5166	4.041	M+0	False	False		2392	2879
864.4617	3.054	M+0	False	False		2391	2051
502.3733	18.725	M+0	False	False		2186	2391
924.7876	15.813	M+0	False	False		2391	2368
163.0754	15.893	M+0	False	False		2390	2032
372.1019	16.016	M+0	False	False		1434	2390
239.1488	0.48	M+0	False	False		2389	2474
907.7689	15.78	M+0	False	False		2389	2663
874.0059	3.691	M+0	False	False		1556	2388
756.69	5.673	M+0	False	False		2387	2287
681.5649	5.564	M+1	True	False		2386	2052
502.3757	9.952	M+0	False	False		2168	2385
959.8936	16.451	M+0	False	False		2383	2326
975.9151	16.5	M+1	True	False		1764	2383
1311.013	12.59	M+0	False	False		3099	2382
790.6891	12.046	M+0	False	False		2382	2015
902.8351	16.033	M+0	False	False		2382	3149
912.6589	12.364	M+1	True	False		2382	2124
1304.2767	15.222	M+0	False	False		1821	2382
1330.0405	14.557	M+0	False	False		2381	2498
619.582	12.686	M+0	False	False		2380	1957
899.8066	15.332	M+0	False	False		2380	0
810.3698	5.591	M+0	False	False		2145	2380
803.0056	4.029	M+0	False	False		2379	1951
831.0242	4.227	M+0	False	False		2378	1652
962.7044	6.718	M+0	False	False		2378	2220
1237.1104	14.459	M+0	False	False		0	2378
1313.3711	15.222	M+0	False	False		2788	2378
738.6598	14.27	M+0	False	False		2168	2378
422.3706	4.227	M+1	True	False		2377	2201
228.115	15.431	M+0	False	False		2377	12106
664.4592	0.349	M+0	False	False		1694	2377
815.3704	5.376	M+2	True	False		2376	0
1347.1875	15.28	M+0	False	False		1650	2376
695.6938	15.431	M+0	False	False		2375	1805
1373.9481	12.363	M+0	False	False		2546	2375
615.453	9.107	M+0	False	False		2375	1788
904.6951	4.285	M+0	False	False		1742	2375
538.5376	16.063	M+0	False	False		2374	1490
540.5338	12.592	M+0	False	False		2373	2342
789.62	11.403	M+0	False	False		2637	2373
1232.1337	15.127	M+0	False	False		0	2372
1444.086	16.17	M+0	False	False		2369	1844
722.5677	9.738	M+0	False	False		2369	2083
792.6653	11.567	M+0	False	False		2368	2242
722.5512	11.631	M+0	False	False		2642	2368
822.5428	3.833	M+0	False	False		2594	2368
829.5124	4.144	M+0	False	False		2327	2368
596.5934	5.544	M+0	False	False		2358	2367
843.5201	3.774	M+0	False	False		2367	1979
854.5838	16.284	M+0	False	False		2367	2000
637.4817	2.913	M+0	False	False		2366	1610
388.2562	10.884	M+0	False	False		1867	2364
701.4134	9.644	M+0	False	False		2364	2005
923.779	15.222	M+0	False	False		2589	2363
792.542	2.328	M+0	False	False		2046	2362
698.5676	16.129	M+0	False	False		1078	2361
766.5302	0.279	M+0	False	False		2460	2361
959.9645	18.635	M+0	False	False		2361	1718
696.6954	15.269	M+0	False	False		1821	2360
