m/z	RT
826.574	8.74
1194.4163	8.704
1261.0425	13.333
1362.2566	14.038
1374.1946	14.176
1320.9178	14.896
788.575	8.66
552.3826	2.422
810.5266	2.793
714.6196	14.176
1193.4136	8.66
580.398	1.858
772.4596	1.905
1320.4408	15.08
813.1173	10.515
1029.794	13.133
1335.2597	15.081
1214.8414	13.57
754.5351	2.226
781.5574	5.758
1117.0709	16.085
184.0736	8.668
822.4836	3.007
1303.4125	14.896
894.7567	13.333
1281.335	12.363
760.2225	8.876
695.6458	15.271
548.5051	12.364
421.3263	5.03
582.5781	7.498
682.5206	4.421
210.089	1.905
703.3656	0.991
1361.3807	13.901
401.256	1.484
759.4531	5.947
1361.3852	14.038
1360.0981	13.708
1444.4749	12.151
802.6277	10.444
524.3356	1.302
673.5846	14.085
686.2037	7.287
1409.4114	11.903
1466.4199	13.57
900.7944	13.948
1383.2231	13.991
497.3444	1.587
608.4297	2.414
1015.9227	14.604
761.6321	5.947
790.5904	10.412
1000.8338	15.175
1367.1478	14.32
796.7407	14.128
856.4671	2.234
915.2663	12.778
792.5931	10.412
730.635	13.947
794.5117	5.215
854.5313	1.813
574.4923	4.591
1216.2578	11.809
840.5136	7.173
845.4896	2.748
370.3689	2.187
538.5836	7.521
1205.4081	8.66
1316.2749	14.604
874.4405	4.858
762.5488	7.127
824.7723	14.459
902.8096	14.27
810.6518	8.74
904.8344	14.81
1096.3239	12.64
1373.1901	14.176
680.5475	2.683
1365.1962	14.085
721.5078	9.107
904.8249	14.554
742.4436	1.673
761.4443	7.082
782.62	7.173
760.5338	5.947
796.5268	6.077
1361.1025	13.708
689.493	14.038
730.6349	14.128
870.5269	1.767
1288.1038	12.545
909.2602	11.951
1320.016	14.938
791.518	10.415
674.4649	3.584
1429.3718	12.731
968.2985	4.924
694.5135	3.538
791.6803	8.668
184.0737	5.168
1319.9755	14.938
822.5431	1.626
851.7909	14.507
422.3292	4.329
1315.2725	14.604
1022.3093	12.363
442.2949	1.626
1213.182	11.856
775.5686	3.205
460.7765	1.579
788.5963	2.793
1207.3146	12.104
633.544	12.187
1322.0654	14.896
759.4426	5.979
1322.0171	14.896
646.617	12.454
880.603	10.549
1063.3042	13.18
1299.1829	14.604
1211.8407	13.57
690.4711	2.366
663.4551	12.411
540.4818	1.402
721.508	9.475
1114.3365	7.196
789.4907	8.704
1325.2546	14.986
342.3375	1.72
992.7842	12.991
791.5043	10.412
704.6267	14.222
724.4878	1.587
654.4733	2.179
790.5836	8.668
853.2523	4.027
1262.0457	13.333
708.4966	6.693
1300.1626	12.885
1021.1318	14.896
780.6039	6.032
798.5421	7.218
546.4164	1.913
738.4633	2.84
1040.9259	14.038
761.4709	7.104
828.5894	10.329
858.5108	1.813
432.2817	1.484
392.3171	1.729
1172.3434	12.885
1298.1798	14.604
680.4756	4.409
791.4773	10.412
798.542	7.034
760.5669	5.19
647.6093	12.454
759.4269	5.947
651.7014	11.52
800.5082	1.821
1488.4282	12.151
674.5887	13.806
878.5875	8.613
770.586	2.887
836.5291	1.579
1021.3071	12.363
722.5117	4.793
721.5081	2.611
1118.0762	16.085
722.5098	5.005
1391.401	13.428
1322.036	14.854
1156.8121	5.19
451.7794	1.767
625.625	12.454
1220.0805	11.856
886.4225	2.819
955.7745	12.932
210.0894	4.496
1217.2602	11.856
443.7812	1.673
1204.4036	8.668
1352.3539	12.542
778.5892	5.19
1468.42	13.57
1273.3286	12.497
401.2734	1.484
721.5064	2.414
610.1852	6.077
700.6044	14.128
819.26	3.24
185.0771	1.402
679.3883	4.409
689.4184	14.038
1342.9291	6.693
663.4552	12.199
841.5161	1.767
896.4875	1.681
722.5097	5.564
381.3521	13.851
786.5658	3.95
716.4637	4.463
774.5557	2.819
1375.384	11.903
972.8826	15.176
564.5839	9.6
678.4361	1.635
898.7785	13.659
1113.3364	7.196
934.8695	14.896
1343.1494	14.557
548.5057	11.999
1385.963	6.693
175.1486	14.038
1162.3582	7.149
766.4187	4.946
1342.1452	14.557
672.507	3.538
769.5615	6.016
700.5412	4.496
1361.8839	13.901
663.4547	11.951
880.6032	10.285
1059.2966	12.636
788.5447	2.234
1443.481	12.151
792.6239	7.01
833.6587	8.74
619.5756	11.809
833.2428	10.744
440.422	2.96
761.4226	7.104
644.4792	2.683
615.5366	11.856
1244.0989	12.592
1289.1082	12.545
579.4462	1.821
1379.1487	14.226
722.5109	4.191
855.8199	14.459
1230.084	12.187
1320.8717	14.938
792.5576	10.415
816.5032	1.673
778.5866	5.282
1278.0356	11.856
747.5749	6.375
759.353	5.939
706.4658	1.729
948.8769	15.845
760.5205	5.979
800.6121	8.668
680.4879	2.008
652.5152	2.187
762.5063	7.127
1115.337	7.196
1100.3132	13.286
652.6129	14.896
1449.4	12.151
1340.3897	11.298
702.6117	13.899
688.4328	3.584
849.7754	14.176
648.5644	12.944
1232.0415	11.951
791.5643	3.101
1208.3333	13.085
997.1945	3.55
1160.3381	5.9
1413.4133	11.903
922.0111	15.857
666.6408	9.691
184.101	1.393
790.547	8.66
1395.3999	13.381
705.5599	13.804
902.7312	13.659
916.3906	5.215
1347.8842	6.693
1321.3814	13.239
791.4384	10.415
468.2798	1.579
650.7783	3.463
184.0822	2.1
1296.437	11.298
1343.9327	6.693
841.5185	1.905
918.265	12.789
1301.1654	12.885
836.4855	1.821
722.5118	7.403
693.6309	14.604
707.518	13.659
743.2419	2.564
920.4216	7.082
656.6019	11.766
652.4021	3.493
695.5665	13.991
947.2888	11.951
341.342	11.856
455.2178	1.035
680.5315	6.693
759.392	5.979
184.0821	1.493
1036.7965	11.951
790.4624	1.813
850.5559	7.218
807.5147	3.101
905.7587	14.27
748.6087	12.093
730.5396	4.731
727.4663	2.091
761.3706	7.082
636.4245	1.635
1378.1451	14.222
456.3847	1.035
1265.9297	13.314
599.5526	11.809
822.5414	1.858
665.4618	6.693
789.4454	8.66
758.8937	5.979
1216.7516	4.946
770.0628	5.947
666.4834	2.683
1320.853	14.896
693.6145	14.085
710.5367	13.948
409.2708	1.484
878.5869	8.767
656.563	7.218
603.5238	9.254
646.4339	2.683
593.4622	2.319
757.4766	5.19
1226.3443	9.645
681.4905	11.856
830.6013	2.819
1266.371	9.645
702.4703	2.046
592.3988	1.867
805.6273	7.196
844.587	3.007
852.5167	2.234
789.4135	8.668
538.6254	1.358
1196.827	4.946
828.5818	3.028
1208.1731	11.52
835.6753	10.549
690.4918	14.038
1295.2294	14.854
894.2784	4.027
979.7815	15.176
660.4018	2.772
1090.0469	15.583
313.3092	11.856
1288.8622	13.712
722.5118	12.187
1248.8521	13.665
457.8016	1.484
681.4853	12.411
616.7106	11.856
689.4977	4.409
1215.1251	11.856
1163.3627	7.104
479.2638	1.579
467.2732	1.626
462.3831	2.422
696.6511	15.08
1099.6837	1.446
1426.4663	13.57
874.7795	13.947
1295.436	11.298
1245.1025	12.592
1098.324	12.636
1251.8506	13.618
1445.4777	12.104
862.7045	1.626
835.6742	10.33
616.7214	11.856
427.289	1.493
1356.3536	12.542
722.4614	1.54
744.5547	5.329
717.5143	1.72
858.4676	2.226
1016.9276	14.554
465.255	1.72
1067.3032	13.192
771.4579	1.905
878.8084	14.507
665.4592	2.187
975.8296	15.176
594.7013	2.1
667.5139	3.228
1277.4241	13.239
670.7815	14.896
776.6178	9.395
626.4572	2.728
582.5459	11.764
